datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
parcsetjardinsparis2010,Les espaces verts,"<p><em>Couche anciennement intitulée ""Liste des parcs et jardins"" (2011).</em> </p><p>Cette couche surfacique localise géographiquement l'emprise des espaces verts publics (parcs, squares, promenades etc...) gérés par la Mairie de Paris.</p><p>Pour plus de renseignements, consultez la notice en pièce jointe.</p><p><strong>-------------------------------------------------------------<br/></strong></p><p><strong><em>Exemple(s) de réutilisation(s) des données
    </em></strong><em>
<span style=""line-height: 1.45em;"">
        :
        <br>
</br></span><span style=""line-height: 1.45em;"">- Cartographie sur
    </span>
<a href=""http://demo.3liz.fr/opendataparis"">
        http://demo.3liz.fr/opendataparis
        <br>
</br></a><span style=""line-height: 1.45em;"">- Application Android ""VuzZz""
    </span>
</em><a href=""https://play.google.com/store/apps/details?id=com.vuzzz.android&amp;feature=search_result#?t=W251bGwsMSwyLDEsImNvbS52dXp6ei5hbmRyb2lkIl0.""><em>
        Lien Google Play
    </em></a></p>",Environnement,"parcs, jardins",Open Database License (ODbL),fr,2015-05-29T07:43:49+00:00,2015-06-26T04:55:01+00:00,2015-06-29T14:55:03+00:00,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,,,942,,,,,,,,2013-01-01,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,33
points-dinterets-openstreetmap-en-france,Points d'intérêt OpenStreetMap en France,"<p>
	 Liste des commodités (<em>amenity</em>) extraite des données OpenStreetMap situées en France. Données © contributeurs <a href=""http://www.openstreetmap.org/"" target=""_blank"">OpenStreetMap</a>
</p>",,,http://www.openstreetmap.org/copyright,en,2015-06-02T10:26:40+00:00,2015-06-24T12:55:00+00:00,2015-07-19T19:55:00+00:00,OpenStreetMap,,,330931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544
arbresalignementparis2010,Les arbres d'alignement,<p>Couche anciennement intitulée <em>Arbres d'alignement - Données géographiques (2011)</em></p><p>Cette couche à figuré ponctuel localise géographiquement l’ensemble des arbres d’alignement présents sur le territoire parisien. </p>,Environnement,"Arbres, DEVE",Open Database License (ODbL),fr,2015-06-12T00:39:58+00:00,2015-06-25T15:55:00+00:00,2015-07-15T13:55:04+00:00,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,,,104025,,,,,,,,2011-01-13,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,119
lignes-de-bus-du-reseau-tcl-grand-lyon,Lignes de bus du réseau TCL Grand Lyon,"<p>La représentation graphique des lignes de bus et trolleybus du réseau  TCL est un objet linéaire qui localise la ligne et son parcours de  terminus à terminus. La représentation graphique des lignes est caractérisée par des  informations de gestion (identifiant, numéro de ligne et sens, libellé,  unité de transport, couleur du tracé, famille de transport) et de tracés  (polylignes de terminus à terminus).</p>","Transports, Déplacements",arrêts de bus,Licence Ouverte (Etalab),fr,2015-07-01T14:16:10+00:00,2015-07-01T14:28:44+00:00,2015-07-01T14:28:45+00:00,Data Grand Lyon,http://data.grandlyon.com/equipements/lignes-de-bus-du-rfseau-tcl/,,296,,,,,,,,,SYTRAL,,Journalière,,,,,,,,,,,,,,,,,,
station-velov-grand-lyon,Station Vélo'V Grand Lyon,"<p>Le jeu de données décrit l'état des stations Vélo'V du Grand Lyon (nom, adresse, nombre de bornettes, ...). Pour accéder aux données temps réel indiquant la disponibilité de vélos en place, préférez le jeu de données original. </p>","Transports, Déplacements",vélo,Licence Ouverte (Etalab),fr,2015-07-01T14:29:22+00:00,2015-07-01T14:33:21+00:00,2015-07-01T14:33:22+00:00,Data Grand Lyon,http://data.grandlyon.com/equipements/station-vflov-disponibilitfs-temps-rfel/,,348,,,,,,,,,Métropole de Lyon / Direction de la voirie (DV),,,,,,,,,,,,,,,,,,,,
lignes-de-tramway-du-reseau-tcl-grand-lyon,Lignes de tramway du réseau TCL Grand Lyon,<p>La représentation des lignes de tramway du réseau TCL localise la ligne et son parcours de terminus à terminus.</p>,"Transports, Déplacements",tramway,Licence Ouverte (Etalab),fr,2015-07-01T14:36:06+00:00,2015-07-01T14:39:34+00:00,2015-07-10T15:55:03+00:00,Data Grand Lyon,http://data.grandlyon.com/equipements/lignes-de-tramway-du-rfseau-tcl/,,10,,,,,,,,,SYTRAL,,,,,,,,,,,,,,,,,,,,145
stations-autopartage-grand-lyon,Stations Autopartage Grand Lyon,"<p>Les Stations Autopartage sont des emplacements  réservés au stationnement des véhicules d'autopartage (Citiz LPA,  Bluely, Sunmoov, Wattmobile).</p>","Transports, Déplacements",automobile,Licence Ouverte (Etalab),fr,2015-07-01T14:40:25+00:00,2015-07-01T14:42:28+00:00,2015-07-01T14:42:29+00:00,Data Grand Lyon,http://data.grandlyon.com/equipements/station-autopartage/,,143,,,,,,,,,Métropole de Lyon / Direction de la voirie (DV),,,,,,,,,,,,,,,,,,,,
lignes-de-metro-et-funiculaire-du-reseau-tcl-grand-lyon,Lignes de métro et funiculaire du réseau TCL Grand Lyon,<p>Le jeu de données donne la représentation graphique des lignes de métro et de funiculaire du  réseau TCL et son parcours  de terminus à terminus.</p>,"Transports, Déplacements","métro, furniculaire",Licence Ouverte (Etalab),fr,2015-07-01T14:42:56+00:00,2015-07-01T14:45:20+00:00,2015-07-01T15:55:03+00:00,Data Grand Lyon,data.grandlyon.com/equipements/lignes-de-mftro-et-funiculaire-du-rfseau-tcl/,,11,,,,,,,,,SYTRAL,,,,,,,,,,,,,,,,,,,,1
pointsaccueilpoliceparis2011,Points d'accueil police (coordonnées) - Paris,"Liste des points d'accueil police pour Paris répertoriant par arrondissement les services, adresses, téléphones, horaires, conditions d'accessibilité.","Justice, Sécurité, Police, Crime","Paris, Sécurité, Police",Licence Ouverte data.gouv.fr,fr,2015-07-16T13:26:52+00:00,2015-07-16T13:40:13+00:00,2015-07-16T13:40:14+00:00,data.gouv.fr,http://www.data.gouv.fr/fr/datasets/carte-des-points-d-accueil-police-a-paris-idf/,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
immeublesprotegesiledefrancedatapublica2011,Monuments Historiques Protégés - Ile de France,"Liste des Immeubles protégés au titre des Monuments Historiques pour la région Ile-de-France (43720 monuments pour l'ensemble des régions). Libellés des champs : REF (référence de l'édifice dans la base Mérimée) ; ETUD (type d'étude : recensement immeubles MH, avec éventuellement la mention label Xxe) ; LOCA OU REG + DEPT + COM (localisation de l'édifice) ; INSEE (code INSEE) ; TICO (appellation courante de l'édifice) ; ADRS (adresse, n° de la voie, type de voie, nom de la voie) ; STAT (statut propriété : type de propriétaire par catégorie ; pas de noms) ; AFFE (affectataire : utile pour les propriétés de l'Etat, mentionne le nom du ministère affectataire) ; PPRO (précisions sur la protection : article 1er de l'arrêté de protection + cadastre + nature et date de la protection) ; AUTR (architecte ou maître d'oeuvre) ; SCLE (période de construction).","Culture, Patrimoine, Sport, Loisirs","Art et culture, Monuments",Licence Ouverte data.gouv.fr,fr,2015-07-16T13:50:54+00:00,2015-07-16T13:51:12+00:00,2015-07-16T13:51:13+00:00,Data Publica,http://www.data-publica.com/opendata/12144--liste-des-immeubles-proteges-au-titre-des-monuments-historiques-ile-de-france,,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
listeassociationsparis2012,Liste des associations parisiennes,"Liste des associations en relation avec la municipalité parisienne. Ce jeu de données comprend le nom statutaire de l'association, son code postal et sa ville d'enregistrement, ses secteurs d'activité, son domaine d'activité, ses publics, son secteur géographique d'activité et l'identifiant de sa fiche si elle est présente dans l'annuaire parisien des associations accessible via l'adresse : http://w35-associations.apps.paris.fr/searchasso/jsp/site/Portal.jsp?page=searchasso&amp;id;=[IDASSO]","Services, Social, Sport, Loisirs, Culture, Patrimoine","Associations, Services, Paris",Open Data Paris,fr,2015-07-16T14:04:28+00:00,2015-07-16T14:04:33+00:00,2015-07-16T14:04:34+00:00,Ville de Paris,http://opendata.paris.fr/explore/dataset/liste_des_associations_parisiennes/?tab=table,,70993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
hotspot_paris_wifi,Sites hotspots Paris Wifi,Liste des sites municipaux disposant d'un hotspot Paris WiFi permettant une connexion à Internet offerte pendant 2h. ,"Services, Social",Paris,Open Data Paris,fr,2015-07-16T14:38:11+00:00,2015-07-16T14:40:54+00:00,2015-07-16T14:40:56+00:00,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
rgc2011dom,Répertoire Géographique des Communes 2011 - DOM,"Le RGC, Répertoire Géographique des Communes, donne des renseignements géographiques et administratifs sur les communes françaises. Il contient le nom, la situation géographique et l'altitude des chefs-lieux de communes (mairies), couplés à des renseignements administratifs.
","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Mairies, France, Communes",Licence Ouverte data.gouv.fr,fr,2015-07-16T14:45:00+00:00,2015-07-16T14:45:05+00:00,2015-07-16T14:45:06+00:00,IGN,http://professionnels.ign.fr/ficheProduitCMS.do?idDoc=5323862#top,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
rgc2011,Répertoire Géographique des Communes 2011,"Le RGC, Répertoire Géographique des Communes, donne des renseignements géographiques et administratifs sur les communes françaises. Il contient le nom, la situation géographique et l'altitude des chefs-lieux de communes (mairies), couplés à des renseignements administratifs.","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Mairies, France, Communes",Licence Ouverte data.gouv.fr,fr,2015-07-16T14:45:47+00:00,2015-07-16T14:46:27+00:00,2015-07-16T14:46:28+00:00,IGN,http://professionnels.ign.fr/ficheProduitCMS.do?idDoc=5323862#top,,36568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
inseerecensementgeographie2008,Résultats du recensement de la population - 2008,Résultats du recensement de la population - 2008. Vue géographique.,"Administration, Gouvernement, Finances publiques, Citoyenneté",Recensement,,fr,2015-07-16T14:46:52+00:00,2015-07-17T09:46:54+00:00,2015-07-17T09:46:55+00:00,INSEE,http://www.recensement.insee.fr/documentation.action,,36682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
equipements_de_proximite,Équipements de proximité,"<p> Liste des équipements de proximité (piscines, bibliothèques,jardins, gymnases,...)
  <br/>
<br/><strong>Exemple(s) de réutilisation(s) des données</strong> :
  <br/>- La bibliothèque la plus proche de vous avec l'<a href=""http://parisbibli.bulte.net/"" target=""_blank"" title=""App Paris Bibli"">application Open Source pour iPhone Paris Bibli</a>
<br/> - Cartographie sur <a href=""http://www.govdata.eu/Samples/Paris/ParisEquipements.html"" target=""_blank"" title=""Cartographie sur govdate.eu"">http://www.govdata.eu/Samples/Paris/ParisEquipements.html</a>
<br/>- Application mobile Windows Phone <a href=""http://www.windowsphone.com/fr-FR/apps/2458a842-c90c-4423-846c-38031595c090"" target=""_blank"" title=""Paris Equipements"">Paris Equipements</a>
<br/>- Application sur Windows8 : <a href=""http://apps.microsoft.com/webpdp/fr-fr/app/paris-equipements/27a5085f-0215-49f4-b91e-629f4e126d3d/m/ROW"" target=""_blank"" title=""app win 8"">Paris Equipements</a>
<br/></p>","Services, Social","équipement, piscine, gymnase, jardin",Open Database License (ODbL),fr,2015-07-16T14:51:22+00:00,2015-06-25T15:55:00+00:00,2015-07-16T14:51:41+00:00,Ville de Paris,,,2193,,,,,,,,2011-01-17,Ville de Paris,Ville de Paris,annuelle,Paris,2011,Paris,,,,,,,,,,,,,,,5
tonnages_des_dechets_bacs_verts,Tonnages des déchets bacs verts,Tonnages des déchets bacs verts collectés par arrondissement et par mois.,Environnement,"collecte, déchets, tonnages",Open Database License (ODbL),fr,2015-07-16T15:18:26+00:00,2015-06-25T12:55:00+00:00,2015-07-16T15:26:18+00:00,Ville de Paris,,,21,,,,,,,,2012-04-16,Ville de Paris,Ville de Paris,annuelle,Paris,2011,arrondissement,,,,,,,,,,,,,,,1
tonnages_des_dechets_bacs_jaunes,Tonnages des déchets bacs jaunes,Tonnages des déchets bacs jaunes collectés par arrondissement et par mois.,Environnement,"collecte, dechets, arrondissement, tonnages",Open Database License (ODbL),fr,2015-07-16T15:25:47+00:00,2015-06-12T14:55:03+00:00,2015-07-16T15:25:56+00:00,Ville de Paris,,,21,,,,,,,,2012-04-16,Ville de Paris,Ville de Paris,annuelle,Paris,2011,,,,,,,,,,,,,,,,2
tonnages_de_la_collecte_du_verre,Tonnages de la collecte du verre,"Tonnages de la collecte du verre en porte à porte, via les gros producteurs et en colonnes à verre par arrondissement et par mois.",Environnement,"collecte, dechets, arrondissement, verre, tonnages",Open Database License (ODbL),fr,2015-07-16T15:27:09+00:00,2015-06-16T23:55:02+00:00,2015-07-16T15:27:19+00:00,Ville de Paris,,,21,,,,,,,,2012-04-16,Ville de Paris,Ville de Paris,annuelle,Paris,2011,,,,,,,,,,,,,,,,
poteaux_divers_sur_voie_publique,Poteaux divers sur voie publique,"Données de type vecteur, décrivant des poteaux divers sur voie publique","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","poteau, bois, voie, publique",Open Data Paris,fr,2015-07-16T15:28:18+00:00,2015-06-19T13:55:04+00:00,2015-07-16T15:28:31+00:00,Ville de Paris,,,1080,,,,,,,,2011-12-04,Ville de Paris,Ville de Paris,Annuelle,Paris,2011,,,,,,,,,,,,,,,,15
horloges_exterieures_et_interieures,Horloges extérieures et intérieures,"Listes des horloges mécaniques extérieures et intérieures, monumentales ou de  cheminée pour certaines très anciennes présentes sur des sites municipaux.","Culture, Patrimoine, Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","horloges, monumentales, mécaniques, cheminées anciennes",Open Database License (ODbL),fr,2015-07-16T15:30:49+00:00,2015-06-19T22:55:00+00:00,2015-07-16T15:30:54+00:00,Ville de Paris,,,1204,,,,,,,,2012-04-13,Ville de Paris,Ville de Paris,annuelle,Paris,,,,,,,,,,,,,,,,,
mobiliers_de_voies_routieres_de_type_barriere,Mobiliers de voies routières de type barriere,"Données de type vecteur décrivant : barrières piétons, garde-corps, glissière, poteau ...","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Barrière, glissière, sécurité, garde-corps, route, rue, voie",Open Data Paris,fr,2015-07-16T15:32:57+00:00,2015-06-25T18:55:01+00:00,2015-07-16T15:33:18+00:00,Ville de Paris,,,134277,,,,,,,,2011-04-04,Ville de Paris,Ville de Paris,Annuelle,Paris,2011,,,,,,,,,,,,,,,,
detail_du_bati,Détail du Bâti,"Données de type vecteur décrivant :accès piéton, accès véhicule, seuil de porte, rampe d'accès, escalier extérieur, terrasse, etc.","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","bâti, détail, accès, rampe, escalier extérieur, terrasse, marche, ascenseur",Open Database License (ODbL),fr,2015-07-16T15:33:51+00:00,2015-06-25T15:55:02+00:00,2015-07-16T15:34:10+00:00,Ville de Paris,,,487476,,,,,,,,2011-04-04,Ville de Paris,Ville de Paris,Annuelle,Paris,,,,,,,,,,,,,,,,,
nomenclature_du_tri_selectif,Nomenclature du tri sélectif,"Nomenclature du tri sélectif utilisé à Paris. Le jeu de données comprend l'identifiant unique du produit qui permet d'accéder à la fiche détaillé du produit (voir ci-dessous), le nom du produit, le type d'emballage, la bonne solution de tri qui est un tableau indiquant les modes de recyclage.

Plusieurs URL donnent accès à un fichier json particulier :
Liste des emballages et bouteilles (qui ont le champ ""Type d'emballage"" renseigné) :
http://r56.apps.paris.fr/tri/jsp/site/rest/directory/1/records.json/
 
Liste des autres déchets (qui n'ont pas le champ ""Type d'emballage"" renseigné) : :
http://r56.apps.paris.fr/tri/jsp/site/rest/directory/2/records.json/
 
Détail d'une fiche, par exemple la 2950
http://r56.apps.paris.fr/tri/jsp/site/rest/directory/1/record/2950.json

Exemple de réutilisation de cette nomenclature :
http://r56.apps.paris.fr/tri/jsp/site/Portal.jsp?page=directory",Environnement,"tri, déchet, poubelle, recyclage, emballage",Open Data Paris,fr,2015-07-16T15:35:46+00:00,2015-06-21T14:55:01+00:00,2015-07-16T15:35:53+00:00,Ville de Paris,http://r56.apps.paris.fr/tri/jsp/site/rest/directory/1/records.json/,,0,,,,,,,,2012-02-16,Ville de Paris,Ville de Paris,Annuelle,Paris,2012,,,,,,,,,,,,,,,,8
annuaire_de_l_administration_-_base_de_donnees_locales_-_types_organismes,"Base de données locales, Guichets Publics Locaux - Types Organismes","La Base de données locales succède à la Base d'orientation Service-Public Local (BOSPL). Elle référence environ 55 000 guichets publics locaux. Elle fournit leurs coordonnées (adresse, site internet, horaires d'ouverture, ...). La liste des types d'organismes référencés dans la base est consultable à cette adresse :http://www.service-public.fr/info/docs/liste-type-organisme.pdfLe schéma et sa documentation sont disponibles à l'adresse : http://www.service-public.fr/apropos-du-site/informations-techniques/001366.html","Administration, Gouvernement, Finances publiques, Citoyenneté","guichets, publics, locaux, types, organismes, coordonnées, ouvertures",ODbL,fr,2015-07-16T16:11:13+00:00,2015-07-16T16:14:00+00:00,2015-07-16T16:14:01+00:00,,http://www.ideeslibres.org/service-public-fr-annuaire-de-ladministration-base-de-donnees-locales-v2/,,133,,,,,,,,2012-03-23,,,,,,,,,,,,,,,,,,,,,7
annuaire_de_l_administration_-_base_de_donnees_locales_v2_-_organismes,"Base de données locales, Guichets Publics Locaux - Organismes","La Base de données locales succède à la Base d'orientation Service-Public Local (BOSPL). Elle référence environ 55 000 guichets publics locaux. Elle fournit leurs coordonnées (adresse, site internet, horaires d'ouverture, ...). La liste des types d'organismes référencés dans la base est consultable à cette adresse :http://www.service-public.fr/info/docs/liste-type-organisme.pdfLe schéma et sa documentation sont disponibles à l'adresse : http://www.service-public.fr/apropos-du-site/informations-techniques/001366.html","Administration, Gouvernement, Finances publiques, Citoyenneté","guichets, publics, locaux, types, organismes, coordonnées, ouvertures",ODbL,fr,2015-07-16T16:15:38+00:00,2015-07-16T16:16:51+00:00,2015-07-16T16:16:52+00:00,,http://www.ideeslibres.org/service-public-fr-annuaire-de-ladministration-base-de-donnees-locales-v2/,,59348,,,,,,,,2012-03-23,,,,,,,,,,,,,,,,,,,,,19
les_references_les_plus_reservees_en_2011,Références bibliographiques les plus réservées des bibliothèques de prêt en 2011,"<p>
<span style=""line-height: 1.45em;"">Les Références les plus réservées en 2011 par les usagers dans le catalogue des bibliothèques de prêt</span>
</p>","Culture, Patrimoine","bibliothèque, réservation, prêt, catalogue, références",Open Database License (ODbL),fr,2015-07-16T16:25:01+00:00,2015-06-19T14:55:01+00:00,2015-07-16T16:25:30+00:00,Ville de Paris,,,1000,,,,,,,,2012-10-23,Ville de Paris,Ville de Paris,,,2011,,,,,,,,,,,,,,,,
mobiliers_et_emprises_au_sol_de_signalisation_routiere_et_pietonne_-_donnees_geo,Mobiliers et emprises au sol de signalisation routière et piétonne - Données géographiques,"Données de type vecteur, décrivant certains mobiliers et emprises au sol de signalisation routière et piétonne : balise, emprises au sol, feux, limites de voies, poteaux à feux, panneaux de circulation routière...","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","balise, emprise au sol, feux, limites de voies, poteaux à feux, panneaux de circulation routière",Open Data Paris,fr,2015-07-16T16:26:30+00:00,2015-06-23T14:55:01+00:00,2015-07-16T16:26:40+00:00,,,,99966,,,,,,,,2011-04-12,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,
liste_des_kiosques_presse_a_paris,"Liste des kiosques presse, théâtre et loto à Paris","<p>
<span style=""line-height: 1.45em;"">Liste des kiosques Parisiens en activité avec les horaires d'ouverture et  fermeture. Liste établie par Médiakiosk.</span></p><p>
<strong>Exemples de réutilisations: </strong><br>
	- Kiosques à Paris, <a href=""http://opendata.paris.fr/opendata/www.kiosque-paris.fr"">www.kiosque-paris.fr</a></br></p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","kiosque, journaux, presse",Open Data Paris,fr,2015-07-16T16:27:52+00:00,2015-06-25T08:55:02+00:00,2015-07-16T16:29:45+00:00,,,,401,,,,,,,,2011-04-06,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,
panneaux_indicateurs_de_signalisation_routiere_et_pietonne,Panneaux indicateurs de signalisation routière et piétonne,"<p>
<span style=""line-height: 1.45em;"">Données de type vecteur, décrivant les panneaux indicateurs de signalisation routière et piétonne : poteaux indicateur, potelet piéton, panneaux indicateur...</span>
</p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","panneaux, signalisation, poteaux, potelets, voirie, route, piéton",Open Database License (ODbL),fr,2015-07-16T16:31:28+00:00,2015-06-24T10:55:01+00:00,2015-07-16T16:31:41+00:00,,,,4237,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,2
cheminement_d_assainissement,Cheminement d'assainissement,"<p>
	Données de type vecteur, décrivant la partie routière du réseau d'assainissement.
</p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","rigole, fil d'eau",Open Database License (ODbL),fr,2015-07-16T16:34:50+00:00,2015-06-25T20:55:01+00:00,2015-07-16T16:34:54+00:00,Ville de Paris,,,34529,,,,,,,,2011-04-04,Ville de Paris,Ville de Paris,Annuelle,Paris,2011,,,,,,,,,,,,,,,,3
relief_naturel,Relief naturel,"<p>
	Données de type vecteur décrivant crête ou pied de talus durs, sens d'écoulement,...<br>
<br>
<span style=""line-height: 1.45em;"">Exemple(s) de réutilisation(s) des données :<br>
	 - Cartographie sur <a href=""http://demo.3liz.fr/opendataparis"">http://demo.3liz.fr/opendataparis</a></br></span>
</br></br></p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","écoulement, talus, crête",Open Database License (ODbL),fr,2015-07-16T16:43:43+00:00,2015-06-25T07:55:01+00:00,2015-07-16T16:44:07+00:00,Ville de Paris,,,16358,,,,,,,,2011-12-04,Ville de Paris,Ville de Paris,Annuelle,Paris,2011,,,,,,,,,,,,,,,,
murs_et_clotures,Murs et Clôtures,"<p>
<span style=""line-height: 1.45em;"">Données de type vecteur décrivant les murs en dur, les entrées de métro, les grilles ou clôtures.</span>
</p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","mur, grille, cloture, entrée",Open Database License (ODbL),fr,2015-07-16T16:44:41+00:00,2015-06-24T13:55:03+00:00,2015-07-16T16:44:49+00:00,Ville de Paris,,,232106,,,,,,,,2011-01-25,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,
liste_des_ouvrages_des_bibliotheques_en_janvier_2009,Liste des ouvrages des bibliothèques en janvier 2009,"<p>
<span style=""line-height: 1.45em;"">Liste des ouvrages (notice bibliographique et localisation) dans les bibliothèques parisiennes au 02/01/2009</span>
</p>","Culture, Patrimoine","livres, bibliothèque, notice bibliographique, ouvrage",Open Database License (ODbL),fr,2015-07-16T16:46:19+00:00,2015-06-24T13:55:02+00:00,2015-07-16T16:47:37+00:00,,,,668392,,,,,,,,2009-04-06,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,21
voiesactuellesparis2012,Nomenclature des voies actuelles,"<p>
	Informations sur l'origine et les dénominations successives des  voies  parisiennes<br/>
<br/>
<span style=""line-height: 1.45em;"">Exemple(s) de réutilisation(s) des données : <br/>
</span><span style=""line-height: 1.45em;"">- Cartographie sur </span><a href=""http://www.govdata.eu/samples/Paris/ParisHistoRuesBing.html"" target=""_blank"">http://www.govdata.eu/samples/Paris/ParisHistoRuesBing.html</a> (lien cassé)</p>","Culture, Patrimoine","Paris, rue, voie, avenue, histoire",Open Data Paris,fr,2015-07-16T16:49:47+00:00,2015-06-24T14:55:03+00:00,2015-07-16T16:49:57+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=47&portlet_id=106,,6357,,,,,,,,2011-04-06,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,11
mobilierpropreteparis2011,Mobiliers urbains de propreté - Emplacements des colonnes à verre,Données de type vecteur indiquant les emplacements des points de collecte du verre.,"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Environnement","Recyclage, Equipements, Environnement, Mobilier urbain, Paris",Open Database License (ODbL),fr,2015-07-16T16:51:00+00:00,2015-06-22T13:55:02+00:00,2015-07-16T16:51:09+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=57&portlet_id=106,,1050,,,,,,,,2011-04-06,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,1
mobilierenvironnementparis2011,Mobiliers sur voie publique - Données géographiques,"Données de type vecteur, décrivant des mobiliers (du domaine environnement) sur la voie publique : bancs, corbeilles, jardinières, poubelles...","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Environnement","Equipements, Environnement, Paris, Mobilier urbain",Open Database License (ODbL),fr,2015-07-17T08:15:00+00:00,2015-06-25T09:55:01+00:00,2015-07-17T08:15:14+00:00,Ville de Paris,,,47088,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,
mobiliertransportsparis2011,Mobiliers des transports en commun - Données géographiques,"<p>
	Données de type vecteur, décrivant les mobiliers liés aux transports en commun, notamment bus
	<br/>
<br/>
<strong>Exemple(s) de réutilisation(s) des données:<br/>
</strong><span style=""line-height: 1.45em;"">- Application Android ""VuzZz"" </span><a href=""https://play.google.com/store/apps/details?id=com.vuzzz.android&amp;feature=search_result#?t=W251bGwsMSwyLDEsImNvbS52dXp6ei5hbmRyb2lkIl0."">Lien Google Play</a>(lien cassé)</p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Transports, Déplacements","Mobilier urbain, Equipements, Transports en commun, Paris",Open Data Paris,fr,2015-07-17T08:20:13+00:00,2015-06-24T17:55:02+00:00,2015-07-17T08:20:24+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=100&portlet_id=106,,1866,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,4
mobilierstationnementparis2011,Mobiliers de stationnement - Données géographiques,"Données de type vecteur, décrivant les mobiliers liés au stationnement de véhicules : horodateurs, distributeurs, bornes vélo libre service (vélib)...","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Transports, Déplacements","Stationnement, Equipements, Paris, Mobilier urbain, vélib, horodateurs, distributeurs, bornes",Open Database License (ODbL),fr,2015-07-17T08:34:14+00:00,2015-06-24T14:55:02+00:00,2015-07-17T08:35:10+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=99&portlet_id=102,,13728,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,9
